
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   386260
Number of nonzeros in inequality constraint Jacobian.:    42048
Number of nonzeros in Lagrangian Hessian.............:    76913

Total number of variables............................:    44187
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    44187
                     variables with only upper bounds:        0
Total number of equality constraints.................:    33650
Total number of inequality constraints...............:    21025
        inequality constraints with only lower bounds:    10488
   inequality constraints with lower and upper bounds:       49
        inequality constraints with only upper bounds:    10488

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 9.9999900e-003 6.17e+002 1.63e+000   0.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 5.3728172e-001 1.26e+003 1.35e+002  -0.3 4.92e+000    -  8.86e-001 1.00e+000f  1
   2 1.4064354e+000 5.21e+002 5.91e+001  -1.1 2.86e+001    -  2.70e-001 5.72e-001f  1
   3 2.5540233e+002 3.56e+003 1.71e+002  -0.2 2.56e+002    -  7.92e-003 9.93e-001f  1
   4 2.8233917e+002 7.33e+002 2.22e+003   0.3 2.69e+001   0.0 9.94e-001 1.00e+000h  1
   5 2.9723188e+002 3.07e+003 1.72e+003   0.7 1.66e+001  -0.5 7.65e-001 9.74e-001f  1
   6 2.9771122e+002 7.10e+002 1.22e+004   0.5 1.64e+001   0.9 2.31e-002 1.00e+000f  1
   7 3.0256503e+002 2.06e+002 3.27e+003   0.5 5.90e+000   0.4 1.00e+000 1.00e+000f  1
   8 3.0525362e+002 3.73e+002 1.66e+003   0.4 4.46e+000  -0.1 9.68e-001 1.00e+000f  1
   9 3.0507288e+002 1.46e+002 3.00e+001  -0.0 1.38e+000   0.3 9.72e-001 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 2.1694326e+002 2.05e+001 1.37e+001  -2.1 8.81e+001    -  8.43e-001 1.00e+000f  1
  11 2.2198916e+002 7.75e-001 7.89e+000  -1.4 5.05e+000  -0.2 9.92e-001 1.00e+000h  1
  12 2.2067610e+002 4.13e-002 1.02e+000  -2.8 1.31e+000  -0.6 9.96e-001 1.00e+000f  1
  13 2.1609036e+002 4.54e-001 3.58e-001  -4.2 4.59e+000  -1.1 1.00e+000 1.00e+000f  1
  14 2.0355498e+002 1.75e+000 3.26e-001  -5.3 1.25e+001  -1.6 1.00e+000 1.00e+000f  1
  15 1.7162966e+002 6.83e+000 2.77e-001  -6.2 3.19e+001  -2.1 1.00e+000 1.00e+000f  1
  16 1.5272031e+002 7.27e+000 2.48e-001  -4.2 6.30e+001  -2.5 1.00e+000 3.00e-001f  1
  17 1.4183080e+002 6.98e+000 2.36e-001  -2.8 1.16e+002  -3.0 1.00e+000 9.35e-002f  1
  18 1.1153135e+002 7.36e+000 2.07e-001  -2.9 1.86e+002  -3.5 9.98e-001 1.63e-001f  1
  19 8.2609276e+001 1.15e+001 1.58e-001  -2.6 8.11e+001  -3.1 1.00e+000 3.57e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 4.3282111e+001 1.05e+001 3.11e-001  -2.1 8.29e+001  -3.5 1.00e+000 4.75e-001f  1
  21 7.2099310e+000 1.04e+002 1.20e-001  -2.3 4.18e+001  -4.0 1.00e+000 8.64e-001f  1
  22 1.1560283e+001 1.73e+002 9.26e-002  -2.5 5.04e+001  -4.5 8.75e-001 9.98e-001h  1
  23 1.1343897e+001 5.64e+001 2.75e-001  -3.0 3.32e+001  -4.1 8.07e-001 1.00e+000h  1
